horizon,model,split,accuracy,macro_f1,high_recall
1yr,persistence,val,,0.963,0.943
1yr,persistence,test,,0.957,0.973
1yr,logreg,train,0.959,0.959,0.972
1yr,logreg,val,0.958,0.956,0.957
1yr,logreg,test,0.938,0.934,0.991
1yr,dtree,train,0.968,0.967,0.972
1yr,dtree,val,0.928,0.93,0.943
1yr,dtree,test,0.925,0.927,0.982
1yr,rf_best,train,0.993,0.994,1.0
1yr,rf_best,val,0.973,0.972,0.957
1yr,rf_best,test,0.96,0.958,0.973
5yr,persistence,val,,0.842,0.76
5yr,persistence,test,,0.834,0.792
5yr,logreg,train,0.869,0.858,0.857
5yr,logreg,val,0.852,0.836,0.787
5yr,logreg,test,0.826,0.811,0.778
5yr,dtree,train,0.887,0.877,0.923
5yr,dtree,val,0.858,0.839,0.733
5yr,dtree,test,0.787,0.765,0.722
5yr,rf_best,train,0.992,0.99,0.994
5yr,rf_best,val,0.901,0.888,0.773
5yr,rf_best,test,0.841,0.831,0.778
